raceId,year,round,circuitId,name.x,date,location,country,temperature ,wind speed
942,2015,16,69,United States Grand Prix,2015-10-25,Austin,USA,61.66,22
943,2015,17,32,Mexican Grand Prix,2015-11-01,Mexico City,Mexico,64.75,18
944,2015,18,18,Brazilian Grand Prix,2015-11-15,SÌ£o Paulo,Brazil,71.83,13
945,2015,19,24,Abu Dhabi Grand Prix,2015-11-29,Abu Dhabi,UAE,75.96,16
948,2016,1,1,Australian Grand Prix,2016-03-20,Melbourne,Australia,59.63,16
949,2016,2,3,Bahrain Grand Prix,2016-04-03,Sakhir,Bahrain,71.35,9
950,2016,3,17,Chinese Grand Prix,2016-04-17,Shanghai,China,64.67,13
951,2016,4,71,Russian Grand Prix,2016-05-01,Sochi,Russia,56.5,11
952,2016,5,4,Spanish Grand Prix,2016-05-15,MontmelÌ_,Spain,64.44,13
953,2016,6,6,Monaco Grand Prix,2016-05-29,Monte-Carlo,Monaco,65.5,21
954,2016,7,7,Canadian Grand Prix,2016-06-12,Montreal,Canada,54.74,24
955,2016,8,73,European Grand Prix,2016-06-19,Baku,Azerbaijan,80.17,16
956,2016,9,70,Austrian Grand Prix,2016-07-03,Spielburg,Austria,63.5,10
957,2016,10,9,British Grand Prix,2016-07-10,Silverstone,UK,67.78,24
958,2016,11,11,Hungarian Grand Prix,2016-07-24,Budapest,Hungary,76.73,10
959,2016,12,10,German Grand Prix,2016-07-31,Hockenheim,Germany,69.5,9
960,2016,13,13,Belgian Grand Prix,2016-08-28,Spa,Belgium,73.23,18
961,2016,14,14,Italian Grand Prix,2016-09-04,Monza,Italy,78.29,7
962,2016,15,15,Singapore Grand Prix,2016-09-18,Marina Bay,Singapore,82.98,12
963,2016,16,2,Malaysian Grand Prix,2016-10-02,Kuala Lumpur,Malaysia,84.26,13
964,2016,17,22,Japanese Grand Prix,2016-10-09,Suzuka,Japan,70.98,31
965,2016,18,69,United States Grand Prix,2016-10-23,Austin,USA,66.5,14
966,2016,19,32,Mexican Grand Prix,2016-10-30,Mexico City,Mexico,60.55,20
967,2016,20,18,Brazilian Grand Prix,2016-11-13,SÌ£o Paulo,Brazil,63.49,10
968,2016,21,24,Abu Dhabi Grand Prix,2016-11-27,Abu Dhabi,UAE,75.21,12
969,2017,1,1,Australian Grand Prix,2017-03-26,Melbourne,Australia,68.2,10
970,2017,2,17,Chinese Grand Prix,2017-04-09,Shanghai,China,54.67,18
971,2017,3,3,Bahrain Grand Prix,2017-04-16,Sakhir,Bahrain,80.17,26
972,2017,4,71,Russian Grand Prix,2017-04-30,Sochi,Russia,64.5,11
